SP,73
MG,56
RJ,49
BA,42
RS,34
PR,33
PE,28
CE,25
MA,21
PA,20
GO,20
SE,19
SC,19
PB,15
PI,13
ES,13
DF,11
AP,11
AM,11
AL,11
TO,11
MS,11
RN,11
RO,11
RR,11
AC,11
MT,3
